Fighters,Average (Raw),Wrestling,BJJ,Judo,Freestyle,Muay Thai,Karate,Kickboxing,Boxing,TKD,Kung Fu,Champ.,Wres. Champ.,BJJ Champ.,Karate Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ,ESPN Champ.,Wres. Champ.,BJJ Champ.,Boxing Champ.,Kickbox Champ.,MT Champ.,TKD Champ.,Karate Champ.,Judo Champ.,Free. Champ.,Kung Fu Champ
Cole Smith,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colton Smith,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonte Smith,Wrestling,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maurice Smith,Kickboxing,,,,,,,1.33,,,,X,,,,,1.33,,,,,,,,,,1.33,,,,,,
Patrick Smith,Boxing,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Scott Smith,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Smith,Wrestling,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Smolka,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dmitry Smolyakov,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Sobotta,BJJ,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Sobral,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rameau Thierry Sokoudjou,Judo,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chael Sonnen,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punahele Soriano,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Soriano,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krzysztof Soszynski,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Sotiropoulos,BJJ,,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Soto,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Soto,Wrestling,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Soukhamthath,Freestyle,,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Southworth,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Souza,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronaldo Souza,BJJ,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Spång,Boxing,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Spann,Freestyle,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Speer,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Spencer,Boxing,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,
Eric Spicely,Freestyle,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Spitz,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergey Spivak,Freestyle,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Spohn,Kung Fu,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Pete Spratt,Karate,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Stallings,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody Stamann,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Stann,Freestyle,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Stansbury,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifford Starks,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalib Starnes,BJJ,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laureano Staropoli,TKD,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Damian Stasiak,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Steinbeiss,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Stephens,Wrestling,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aljamain Sterling,Wrestling,4,,,,,,,,,,X,4,,,,,,,,,,,4,,,,,,,,,
Joe Stevenson,Judo,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Stewart,Freestyle,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Stiebling,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Stoltzfus,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Stone,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Story,Wrestling,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Stout,Kickboxing,,,,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,
Darko Stošić,Judo,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georges St-Pierre,Karate,,,,,,10,,,,,X,,,10,,,,,,,,,,,,,,,10,,,
Ovince St. Preux,Wrestling,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Strasser,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Strebendt,BJJ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Strickland,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hans Stringer,Kickboxing,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Struve,Freestyle,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genki Sudo,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Sullivan,Freestyle,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amar Suloev,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cub Swanson,Freestyle,,,,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Swick,TKD,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Tim Sylvia,Wrestling,2.25,,,,,,,,,,X,2.25,,,,,,,,,,,2.25,,,,,,,,,
Justin Tafa,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Taha,TKD,,,,,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,
Mairbek Taisumov,Freestyle,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuo Takahashi,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daiju Takase,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleg Taktarov,Judo,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordine Taleb,Freestyle,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issei Tamura,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Tan,Kickboxing,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michinori Tanaka,Judo,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evan Tanner,Wrestling ,1.83,,,,,,,,,,X,1.83,,,,,,,,,,,1.83,,,,,,,,,
Brad Tavares,Freestyle,,,,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thiago Tavares,Judo,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Taylor,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Taylor,Kickboxing,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
James Te Huna,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glover Teixeira,BJJ,,3.2,,,,,,,,,X,,3.2,,,,,,,,,,,,3.2,,,,,,,
John Teixeira,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tra Telligman,Karate,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,
David Terrell,Wrestling,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Teymur,Muay Thai,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davud Teymur,Muay Thai,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Thatch,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Theodorou,Freestyle,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Thiago,Judo,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Thompson,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oli Thompson,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Thompson,Karate,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Thomson,Wrestling,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Din Thomas,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Thomas,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simeon Thoresen,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gleison Tibau,BJJ,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Till,Muay Thai,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duško Todorović,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazuki Tokudome,Judo,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Toner,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ilia Topuria,Wrestling,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Torres,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salim Touahri,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dequan Townsend,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Traven,BJJ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Trigg,Judo,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Trinaldo,Freestyle,,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Trizano,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tor Troéng,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abel Trujillo,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arman Tsarukyan,Wrestling,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Tuchscherer,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Tuck,Freestyle,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galvin Tucker,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumabieke Tuerxun,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Tuivasa,Freestyle,,,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zubaira Tukhugov,Freestyle,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Tumenov,Karate,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellington Turman,Muay Thai,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalin Turner,Wrestling,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcin Tybura,Freestyle,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tagir Ulanbekov,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Ulberg,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Héctor Urbina,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasan Umalatov,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caol Uno,Judo,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yasuhiro Urushitani,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamaru Usman,Wrestling,15,,,,,,,,,,X,15,,,,,,,,,,,15,,,,,,,,,
Darren Uyenoyama,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richi Vaculik,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Valencia,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timur Valiev,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Vallie-Flagg,Freestyle,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Van Arsdale,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Van Buren,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Vanderaa,Wrestling,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lando Vannata,Wrestling,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Varelans,Boxing,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Vargas,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Varner,Wrestling,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Javier Vazquez,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Veach,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Vedepo,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cain Velasquez,Wrestling,4,,,,,,,,,,X,4,,,,,,,,,,,4,,,,,,,,,
Bojan Veličković,Judo,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlos Vemola,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luigi Vendramini,BJJ,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Vera,Wrestling,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marlon Vera,BJJ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Verissimo,BJJ,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Vettori,Kickboxing,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Viana,TKD,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
James Vick,Boxing,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,
Milton Vieira,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodolfo Vieira,BJJ,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gian Villante,Wrestling,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ike Villanueva,Freestyle,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danillo Villefort,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Villefort,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcos Vinicius,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falaniko Vitale,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bobby Voelker,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Volkanovski,Wrestling,10,,,,,,,,,,X,10,,,,,,,,,,,10,,,,,,,,,
Jacob Volkmann,Wrestling,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Volkov,Freestyle,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Von Flue,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Wade,Wrestling,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Waldburger,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donny Walker,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Walker,Freestyle,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crafton Wallace,Karate,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Wallace,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Wallhead,Judo,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Walsh,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curt Warburton,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Ward,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terrion Ware,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Waterman,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Watson,Boxing,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Walel Watson,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brok Weaver,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royston Wee,Muay Thai,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Weidman,Wrestling,1.83,,,,,,,,,,X,1.83,,,,,,,,,,,1.83,,,,,,,,,
Mark Weir,TKD,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Christian Wellisch,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabrício Werdum,BJJ,,2,,,,,,,,,X,,2,,,,,,,,,,,2,,,,,,,,
Mike Wessel,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheldon Westcott,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex White,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon White,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Whitehead,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Whittaker,Karate,,,,,,3.5,,,,,X,,,3.5,,,,,,,,,,,,,,,3.5,,,
Rob Wilkinson,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Wilkinson,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Wilks,Karate,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Williams,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalinn WIlliams,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Williams,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Williams,Wrestling,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tedd Williams,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Willis,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Wilson,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Wilson,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Wiman,Freestyle,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Wineland,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deron Winn,Wrestling,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Winner,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Wisely,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Keith Wisniewski,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason WItt,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Wiuff,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Wolff,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathaniel Wood,BJJ,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyron Woodley,Wrestling,1.29,,,,,,,,,,X,1.29,,,,,,,,,,,1.29,,,,,,,,,
Sean Woodson,Boxing,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Khama Worthy,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Wright,Muay Thai,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Yadong,Freestyle,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eddie Yagin,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rani Yahya,BJJ,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Yakovlev,Wrestling,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenichi Yamamoto,Karate,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Norifumi Yamamoto,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petr Yan,Boxing,,,,,,,,8,,,X,,,,8,,,,,,,,,,8,,,,,,,
Adrian Yanez,Boxing,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
Dongi Yang,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhikui Yao,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmanuel Yarborough,Wrestling,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cale Yarbrough,Freestyle,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoshiyuki Yoshida,Freestyle,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Young,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Young,Kickboxing,,,,,,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,
Sodiq Yusuff,Freestyle,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert Yvel,Kickboxing,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Zachrich,Freestyle,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiemann Zahabi,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssef Zalal,Kickboxing,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
David Zawada,Freestyle,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipeng Zhang,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiequan Zhang,Wrestling,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rong Zhu,Kickboxing,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Zhalgas Zhumagulov,Freestyle,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farès Ziam,Freestyle,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
